registered,frequency,monetary
0,24,35
1,201,294
2,245,648
3,294,1154
4,307,1602
5,287,1840
6,266,1992
7,200,1787
8,190,1968
9,178,2057
10,133,1651
11,140,1927
12,90,1350
13,93,1487
14,101,1692
15,95,1692
16,92,1795
17,85,1751
18,80,1819
19,106,2433
20,95,2240
21,81,2084
22,105,2781
23,90,2551
24,83,2300
25,77,2317
26,83,2589
27,68,2151
28,73,2370
29,71,2416
30,75,2746
31,70,2540
32,63,2344
33,66,2629
34,65,2524
35,59,2382
36,57,2350
37,58,2560
38,54,2493
39,67,3073
40,59,2712
41,52,2641
42,51,2545
43,65,3358
44,48,2444
45,48,2593
46,56,3138
47,52,2883
48,68,3919
49,69,3936
50,58,3456
51,53,3291
52,50,3131
53,71,4475
54,53,3485
55,60,3967
56,48,3282
57,51,3383
58,49,3401
59,53,3680
60,47,3305
61,52,3700
62,52,3874
63,48,3564
64,70,5511
65,48,3840
66,48,4005
67,49,3864
68,52,4249
69,43,3474
70,48,4051
71,56,4842
72,54,4585
73,51,4596
74,43,3797
75,44,3896
76,49,4388
77,45,4518
78,44,4055
79,59,5651
80,58,5599
81,52,5265
82,50,5080
83,59,5857
84,43,4393
85,50,5511
86,60,6370
87,43,4466
88,64,6954
89,46,5153
90,45,4922
91,40,4428
92,50,5723
93,49,5983
94,52,6099
95,75,8873
96,48,6027
97,53,6380
98,52,6201
99,58,6916
100,53,6515
101,47,5746
102,59,7186
103,51,6647
104,67,8789
105,49,6170
106,48,6313
107,56,7413
108,61,7958
109,43,5922
110,53,7214
111,61,8537
112,60,8212
113,36,5033
114,58,8506
115,59,8267
116,56,7971
117,42,6262
118,48,7303
119,56,8117
120,50,7575
121,50,7485
122,42,6395
123,45,6908
124,44,6706
125,39,6355
126,55,8652
127,61,9916
128,50,7954
129,42,7097
130,57,9361
131,35,5734
132,44,7173
133,42,7156
134,53,8773
135,43,7039
136,43,7508
137,51,9157
138,41,7048
139,55,9544
140,35,6200
141,48,8787
142,54,9688
143,39,7228
144,54,9763
145,42,7608
146,45,8413
147,45,8197
148,49,9237
149,42,8082
150,56,10675
151,49,9331
152,40,7826
153,47,9405
154,42,8121
155,59,11614
156,59,11837
157,37,7464
158,45,8893
159,41,8262
160,30,6339
161,59,12081
162,48,9543
163,50,10580
164,43,8663
165,38,7633
166,40,8137
167,33,7262
168,54,11666
169,44,9453
170,50,10777
171,42,8997
172,33,7617
173,35,8134
174,36,7907
175,46,10591
176,53,12095
177,44,10149
178,50,11076
179,33,7668
180,39,8984
181,37,8988
182,31,7274
183,41,9674
184,43,10274
185,36,8607
186,43,10347
187,38,9399
188,44,10624
189,46,10835
190,34,8067
191,37,9351
192,41,10763
193,35,8914
194,31,7418
195,27,6670
196,35,9328
197,36,8804
198,35,8457
199,34,8320
200,29,7253
201,34,9129
202,37,9844
203,36,9603
204,28,6961
205,27,7106
206,39,10335
207,39,10020
208,30,8098
209,40,11207
210,28,7567
211,32,8392
212,33,9175
213,27,7523
214,36,10485
215,22,6588
216,37,10657
217,30,8607
218,38,10423
219,27,7771
220,38,10444
221,30,8770
222,38,10989
223,34,10001
224,33,10171
225,34,9884
226,36,10800
227,31,9146
228,39,11829
229,27,8138
230,34,11310
231,28,8210
232,32,9914
233,29,8321
234,25,7858
235,26,8240
236,19,5853
237,21,6430
238,26,8180
239,28,8830
240,31,9400
241,36,11027
242,28,8643
243,29,9926
244,34,11337
245,28,9142
246,25,7937
247,36,11749
248,26,7800
249,14,4629
250,15,4848
251,24,7506
252,33,10723
253,33,11226
254,23,7776
255,30,9881
256,31,10231
257,20,6810
258,25,8852
259,17,5471
260,30,10314
261,16,5814
262,27,8880
263,18,6194
264,22,7555
265,30,9753
266,18,6001
267,20,6756
268,20,7338
269,16,5695
270,30,10489
271,18,6346
272,14,5153
273,22,7701
274,18,6457
275,17,6440
276,21,7422
277,16,5522
278,21,7919
279,18,6723
280,16,5512
281,18,6350
282,17,6246
283,15,4971
284,22,8314
285,11,3538
286,17,5925
287,18,6405
288,24,9039
289,22,7975
290,11,4660
291,17,6454
292,23,8540
293,11,4108
294,14,4933
295,9,3494
296,17,6316
297,14,5079
298,20,7364
299,22,8342
300,15,5940
301,14,5312
302,21,7520
303,12,4621
304,11,4427
305,15,5633
306,12,4614
307,8,3684
308,15,5690
309,12,5384
310,16,6166
311,14,5566
312,17,6855
313,13,4713
314,17,7422
315,12,5073
316,19,7801
317,16,6624
318,15,6107
319,10,4269
320,20,7653
321,10,4063
322,5,2325
323,19,7958
324,13,5881
325,13,5211
326,12,4773
327,11,4595
328,12,4759
329,16,6812
330,16,7280
331,14,5786
332,15,6233
333,12,4440
334,13,5277
335,16,6838
336,6,2378
337,14,6288
338,14,6249
339,10,4622
340,12,5371
341,9,4284
342,14,7402
343,13,5625
344,9,3680
345,8,3029
346,17,7490
347,17,8063
348,15,6760
349,14,6179
350,12,5050
351,13,6156
352,14,5922
353,7,3079
354,15,6885
355,11,5194
356,12,5540
357,11,5437
358,15,6918
359,9,3785
360,9,4217
361,16,7314
362,14,6348
363,11,5027
364,7,3161
365,9,4390
366,11,5679
367,10,4415
368,16,7159
369,17,8177
370,7,3740
371,10,4781
372,12,6134
373,6,2839
374,12,5228
375,8,3826
376,8,3768
377,12,5270
378,14,6409
379,7,3155
380,8,3839
381,12,5346
382,6,2861
383,8,4460
384,11,5101
385,7,3140
386,9,4035
387,7,2870
388,12,6007
389,7,3250
390,5,2796
391,14,6466
392,4,1733
393,13,5846
394,7,3097
395,2,886
396,7,3076
397,14,6220
398,7,3097
399,15,7045
400,8,4435
401,6,3197
402,6,2877
403,6,2926
404,10,5400
405,8,4245
406,3,1368
407,4,1808
408,9,4557
409,8,3699
410,5,2517
411,7,3357
412,8,3949
413,5,2255
414,12,5667
415,11,5184
416,2,989
417,13,6190
418,7,3350
419,6,3359
420,4,2265
421,8,3918
422,3,1321
423,6,3040
424,3,1638
425,6,3039
426,8,3852
427,5,2649
428,6,2890
429,8,3895
430,5,2395
431,3,1436
432,9,4227
433,6,3307
434,6,3387
435,6,3287
436,8,4202
437,11,5597
438,5,2477
439,3,1655
440,4,1891
441,4,2188
442,7,3350
443,5,2678
444,6,2880
445,9,4851
446,4,2237
447,6,3208
448,5,2671
449,8,3883
450,6,3252
451,7,3668
452,5,2369
453,9,4641
454,5,2847
455,7,3462
456,5,2959
457,3,1547
458,8,4127
459,7,3477
460,5,2817
461,7,3539
462,6,3063
463,6,3172
464,6,3167
465,7,3531
466,2,1095
467,9,4680
468,4,2154
469,6,3158
470,6,3093
471,5,2524
472,7,3720
473,8,4492
474,8,4473
475,4,2133
476,1,517
477,2,992
478,9,4693
479,3,1579
480,9,4750
481,3,1629
483,10,5543
484,8,4400
485,2,1102
486,9,4893
487,5,2751
488,7,3871
489,9,4698
490,5,2718
491,6,3577
492,7,3840
493,4,2190
494,2,1009
495,6,3188
496,4,2478
497,5,2742
498,6,3205
499,3,1703
500,4,2185
501,4,2143
502,4,2259
503,3,1710
504,4,2113
505,3,1613
506,5,2770
507,4,2297
508,4,2154
509,5,2891
510,5,3025
511,3,1721
512,4,2285
513,4,2283
514,9,4922
515,4,2298
516,5,2831
517,4,2303
518,2,1155
519,2,1152
520,1,537
521,1,604
522,3,1723
523,7,4079
524,4,2386
525,4,2448
526,1,776
527,5,2980
529,4,2411
530,3,1723
531,4,2293
532,5,3079
533,5,2928
534,7,4089
535,1,615
536,2,1155
537,4,2397
538,1,557
539,7,4027
540,7,4085
541,1,563
542,4,2449
543,4,2375
544,3,1718
545,2,1187
546,4,2275
547,3,1817
548,2,1239
549,5,2961
551,5,2987
552,1,640
553,3,1804
554,3,1823
555,3,1839
556,2,1176
557,3,1864
558,2,1345
559,1,580
560,2,1287
561,2,1279
562,2,1273
563,3,1742
564,5,3160
565,2,1246
566,1,642
567,4,2471
568,1,588
570,2,1259
571,2,1206
572,2,1289
573,2,1256
575,4,2473
576,3,1952
577,3,1865
578,2,1221
579,3,1810
580,5,3126
581,2,1233
582,3,1912
583,1,601
584,3,1948
585,1,599
586,3,1882
588,1,634
589,3,1967
591,2,1290
592,1,683
593,2,1484
594,3,1980
595,2,1259
596,2,1309
597,2,1324
598,5,3304
599,2,1275
600,1,643
601,2,1441
602,2,1303
603,2,1308
604,3,1908
605,2,1275
608,2,1266
609,2,1320
610,1,638
611,2,1355
613,2,1353
614,1,676
615,5,3341
616,2,1410
617,4,2669
618,3,2014
619,3,2088
620,3,2140
621,1,738
622,2,1302
623,2,1348
624,1,679
625,5,3309
626,1,704
627,2,1515
628,5,3424
629,3,1991
631,1,673
632,1,710
633,1,673
634,5,3581
636,1,668
637,1,668
638,2,1421
639,2,1345
640,4,2799
641,1,710
642,6,4267
643,1,665
644,1,674
645,1,744
646,3,2159
647,3,2223
648,3,2151
649,4,2737
650,1,663
651,1,677
652,5,3434
653,2,1386
654,2,1491
655,2,1440
656,3,2241
658,1,730
659,2,1421
660,1,713
661,3,2251
662,3,2193
663,2,1448
664,4,2807
665,5,3667
666,1,692
667,1,769
668,4,2766
669,2,1478
670,6,4318
672,2,1454
673,1,781
674,2,1486
675,3,2157
677,4,3092
678,2,1569
679,2,1583
680,2,1439
681,3,2287
682,1,719
683,1,692
684,3,2272
688,2,1594
689,1,737
690,1,719
691,2,1529
692,3,2350
693,3,2500
694,2,1454
695,1,812
696,3,2196
697,5,3970
698,2,1536
699,2,1615
700,3,2249
701,1,754
702,1,750
703,3,2297
704,2,1590
706,1,837
707,1,808
708,2,1498
709,4,3146
711,4,3080
712,2,1503
713,1,737
714,1,734
715,2,1566
716,3,2426
718,1,739
719,5,4052
720,2,1539
723,1,832
725,2,1569
726,5,4009
727,1,770
730,2,1603
732,1,809
733,4,3212
734,3,2517
735,2,1626
736,1,818
737,2,1586
739,2,1671
740,2,1672
741,2,1657
742,2,1727
743,2,1711
744,5,4205
745,3,2489
746,5,4079
749,4,3301
750,1,867
751,3,2536
756,2,1649
757,4,3420
758,5,4113
760,1,847
761,1,835
762,2,1696
764,2,1655
765,1,827
766,1,888
767,4,3489
768,1,848
769,2,1745
770,1,813
773,1,798
774,3,2544
775,2,1734
777,1,801
778,1,869
779,1,817
780,2,1671
781,2,1709
782,1,857
783,1,913
786,2,1769
787,3,2619
788,1,890
789,1,901
790,1,872
791,1,856
794,1,884
795,1,858
796,1,900
800,1,835
802,1,970
803,1,834
806,1,839
807,1,892
808,1,838
809,1,898
810,1,893
811,2,1866
812,2,1773
815,1,884
818,1,905
822,1,899
833,1,917
838,1,922
839,1,943
857,2,1916
860,1,967
871,1,938
876,2,1916
885,1,976
886,1,977
